,Rk_x,Player,G_x,GS_x,MP_x,FG_x,FGA_x,FG%_x,2P_x,2PA_x,2P%_x,3P_x,3PA_x,3P%_x,FT_x,FTA_x,FT%_x,ORB,DRB,TRB_x,AST_x,STL_x,BLK_x,TOV_x,PF_x,PTS_x,Rk_y,G_y,GS_y,MP_y,FG_y,FGA_y,FG%_y,2P_y,2PA_y,2P%_y,3P_y,3PA_y,3P%_y,FT_y,FTA_y,FT%_y,TRB_y,AST_y,STL_y,BLK_y,TOV_y,PF_y,PTS_y,Rk,G,GS,PER,TS%,eFG%,3PAr,FTr,PProd_x,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/40,Unnamed: 24,OBPM,DBPM,BPM,PProd_y,avgAdjPts,sdAdjPts,ModelSecondCoef,ModelFirstCoef,Yintercept,R2,OldTeam,NewTeam
10,7.0,Connor Vanover,29,27.0,469,70,155,0.452,46,81,0.568,24,74,0.324,20,21,0.9520000000000001,27,104,131,14,13,51,21,37,184,4,29,27,469,6.0,13.2,0.452,3.9,6.9,0.568,2.0,6.3,0.324,1.7,1.8,0.9520000000000001,11.2,1.2,1.1,4.3,1.8,3.2,15.7,7,29,27,21.1,0.5579999999999999,0.529,0.47700000000000004,0.135,169.0,6.1,23.6,14.9,5.2,1.5,11.5,11.3,18.2,,0.9,1.2,2.1,0.18100000000000002,,3.4,4.9,8.3,169.0,15.038045997521746,6.283797461607069,-0.5662130584006262,0.004587358250743683,27.29876584638749,0.9784009843385097,California,Arkansas
11,5.0,Isaiah Moss,30,9.0,738,79,204,0.387,30,63,0.47600000000000003,49,141,0.348,31,34,0.912,9,59,68,18,14,1,24,38,238,6,30,9,738,4.3,11.1,0.387,1.6,3.4,0.47600000000000003,2.7,7.6,0.348,1.7,1.8,0.912,3.7,1.0,0.8,0.1,1.3,2.1,12.9,6,30,9,11.4,0.541,0.507,0.691,0.16699999999999998,206.0,1.5,8.5,5.2,4.2,1.1,0.2,9.8,16.8,,1.2,1.2,2.4,0.129,,2.6,2.0,4.6,206.0,10.706490032595047,6.124175684159061,0.0208804515020366,-2.0569662438277188e-05,9.584593194409283,0.0687617864767156,Iowa,Kansas
12,3.0,Nick Honor,24,10.0,559,69,176,0.392,29,67,0.433,40,109,0.36700000000000005,17,23,0.7390000000000001,8,22,30,53,32,1,24,34,195,7,24,10,559,4.9,12.6,0.392,2.1,4.8,0.433,2.9,7.8,0.36700000000000005,1.2,1.6,0.7390000000000001,2.1,3.8,2.3,0.1,1.7,2.4,14.0,2,24,10,15.8,0.522,0.506,0.619,0.131,191.0,1.8,4.8,3.3,20.7,3.5,0.2,11.4,20.6,,1.0,1.0,1.9,0.139,,2.5,3.8,6.2,191.0,15.689786972658846,4.653352049267081,0.18113498972051134,-0.0015739624127258597,13.366209790634482,0.22175239062850483,Fordham,Clemson
13,1.0,Rasir Bolton,30,30.0,925,139,344,0.40399999999999997,94,210,0.44799999999999995,45,134,0.336,117,138,0.848,13,90,103,84,32,4,83,63,440,2,30,30,925,6.0,14.9,0.40399999999999997,4.1,9.1,0.44799999999999995,1.9,5.8,0.336,5.1,6.0,0.848,4.5,3.6,1.4,0.2,3.6,2.7,19.0,3,30,30,16.5,0.537,0.469,0.39,0.401,422.0,1.6,11.1,6.4,18.2,2.0,0.5,16.9,26.4,,1.6,0.7,2.3,0.09699999999999999,,2.7,-0.3,2.5,422.0,7.610407618157002,3.6594922450739844,5.04885340649366,-0.002347995051428382,-2698.1362575353264,0.1126355040976601,Penn State,Iowa State
14,1.0,Keve Aluma,22,22.0,674,118,241,0.49,98,184,0.5329999999999999,20,57,0.35100000000000003,78,108,0.722,56,118,174,48,15,29,41,52,334,1,22,22,674,7.0,14.3,0.49,5.8,10.9,0.5329999999999999,1.2,3.4,0.35100000000000003,4.6,6.4,0.722,10.3,2.8,0.9,1.7,2.4,3.1,19.8,1,22,22,25.8,0.5710000000000001,0.531,0.237,0.44799999999999995,334.0,10.1,21.3,15.7,15.9,1.3,5.2,12.3,26.1,,2.3,1.3,3.6,0.214,,5.9,2.7,8.7,334.0,4.6852611553862396,,0.0,0.0,5.0,,Wofford,Virginia Tech
15,6.0,Bubba Parham,31,6.0,825,54,151,0.358,28,65,0.431,26,86,0.302,26,30,0.867,12,63,75,55,25,1,42,85,160,11,31,6,825,2.6,7.3,0.358,1.4,3.2,0.431,1.3,4.2,0.302,1.3,1.5,0.867,3.6,2.7,1.2,0.0,2.0,4.1,7.8,5,31,6,6.6,0.484,0.444,0.57,0.19899999999999998,168.0,1.8,8.3,5.2,11.9,1.7,0.1,20.3,12.5,,0.2,1.2,1.4,0.07,,-2.0,2.8,0.8,168.0,18.712235281853204,9.715617679241667,-0.07276424203529948,0.00010060270133664838,28.366157953656305,0.24920699408358293,VMI,Georgia Tech
16,6.0,Curran Scott,31,8.0,461,53,133,0.39799999999999996,35,82,0.42700000000000005,18,51,0.353,58,69,0.841,17,49,66,21,10,1,35,37,182,6,31,8,461,4.6,11.5,0.39799999999999996,3.0,7.1,0.42700000000000005,1.6,4.4,0.353,5.0,6.0,0.841,5.7,1.8,0.9,0.1,3.0,3.2,15.8,6,31,8,13.3,0.5489999999999999,0.466,0.38299999999999995,0.519,173.0,4.3,11.3,7.9,9.4,1.3,0.3,17.4,22.1,,0.6,0.5,1.1,0.1,,-0.5,0.3,-0.2,173.0,4.482115396417422,2.630812106513504,4.881974816378008,-0.0016255679782150993,-3653.289958264251,0.24505854382564374,Charlotte,Tulsa
17,2.0,Edric Dennis,30,19.0,852,131,375,0.349,68,169,0.402,63,206,0.306,104,137,0.759,33,103,136,68,24,4,76,72,429,2,30,19,852,6.2,17.6,0.349,3.2,7.9,0.402,3.0,9.7,0.306,4.9,6.4,0.759,6.4,3.2,1.1,0.2,3.6,3.4,20.1,4,30,19,14.9,0.48700000000000004,0.433,0.5489999999999999,0.365,410.0,4.3,13.6,9.0,18.7,1.6,0.5,14.7,30.3,,0.8,1.2,2.0,0.095,,0.5,-0.7,-0.2,410.0,8.1696588212387,4.490037007905066,2.412323146539638,-0.0010163350525565864,-1415.3469842573459,0.0627184418212926,Jackson State,Texas-Arlington
18,15.0,Micaiah Henry,9,1.0,35,0,2,0.0,0,2,0.0,0,0,,1,5,0.2,2,6,8,1,1,0,0,5,1,15,9,1,35,0.0,2.3,0.0,0.0,2.3,0.0,0.0,0.0,,1.1,5.7,0.2,9.1,1.1,1.1,0.0,0.0,5.7,1.1,12,9,1,2.1,0.114,0.0,0.0,2.5,2.0,6.2,19.3,12.6,4.3,1.6,0.0,0.0,5.9,,0.0,0.1,0.0,0.032,,-3.4,2.4,-1.0,2.0,9.757917101828804,,0.0,0.0,10.0,,Tennessee Tech,South Carolina
19,2.0,Joey Hauser,28,16.0,601,94,198,0.475,60,98,0.612,34,100,0.34,49,68,0.721,38,119,157,40,12,6,52,74,271,2,28,16,601,6.3,13.2,0.475,4.0,6.5,0.612,2.3,6.7,0.34,3.3,4.5,0.721,10.4,2.7,0.8,0.4,3.5,4.9,18.0,2,28,16,18.0,0.588,0.561,0.505,0.34299999999999997,249.0,7.1,22.1,14.6,14.4,1.2,1.0,18.4,23.6,,1.1,0.7,1.9,0.124,,3.1,1.8,4.9,249.0,10.49657934807427,4.710327357121934,0.08638850334833895,-0.0003088792386973731,7.4217068109485185,0.18659951105667194,Marquette,Michigan State
20,6.0,Anthony Duruji,25,17.0,549,64,146,0.43799999999999994,54,108,0.5,10,38,0.263,14,29,0.483,35,74,109,14,14,11,31,59,152,8,25,17,549,4.7,10.6,0.43799999999999994,3.9,7.9,0.5,0.7,2.8,0.263,1.0,2.1,0.483,7.9,1.0,1.0,0.8,2.3,4.3,11.1,7,25,17,10.7,0.47600000000000003,0.473,0.26,0.19899999999999998,154.0,8.0,14.8,11.6,4.7,1.4,2.2,16.2,17.4,,0.3,0.7,1.0,0.07200000000000001,,-0.4,1.3,0.9,154.0,10.008818053226955,5.715305090859427,-0.021459220894512087,2.2721947271410097e-05,13.198753845536416,0.10005697059463359,Louisiana Tech,Florida
21,9.0,David Nickelberry,18,0.0,122,13,31,0.419,13,27,0.48100000000000004,0,4,0.0,1,1,1.0,9,23,32,11,5,1,18,19,27,11,18,0,122,4.3,10.2,0.419,4.3,8.9,0.48100000000000004,0.0,1.3,0.0,0.3,0.3,1.0,10.5,3.6,1.6,0.3,5.9,6.2,8.9,13,18,0,5.7,0.429,0.419,0.129,0.032,32.0,7.2,19.7,13.2,14.7,2.2,0.8,36.4,18.3,,-0.2,0.2,0.0,-0.008,,-8.4,-1.2,-9.6,32.0,6.629479520161557,6.456684789295862,5.102448979591265,-0.05122448979591194,3.9999999999980203,1.0,Memphis,Buffalo
22,1.0,Sam Hauser,25,25.0,856,147,292,0.503,84,141,0.596,63,151,0.41700000000000004,43,48,0.8959999999999999,21,149,170,45,14,10,26,39,400,3,25,25,856,6.9,13.6,0.503,3.9,6.6,0.596,2.9,7.1,0.41700000000000004,2.0,2.2,0.8959999999999999,7.9,2.1,0.7,0.5,1.2,1.8,18.7,1,25,25,25.2,0.635,0.611,0.517,0.16399999999999998,357.0,3.4,21.6,13.1,11.6,1.1,1.4,7.6,23.7,,3.3,1.2,4.6,0.213,,8.1,2.0,10.1,357.0,13.905759201964564,7.205905116923167,-0.011612348542393899,8.199260857676053e-07,20.976760058863366,0.19000268944679333,Marquette,Virginia
23,3.0,Dalano Banton,27,22.0,736,90,219,0.41100000000000003,70,138,0.507,20,81,0.247,58,88,0.659,27,132,159,105,26,25,67,56,258,4,27,22,736,4.9,11.9,0.41100000000000003,3.8,7.5,0.507,1.1,4.4,0.247,3.2,4.8,0.659,8.6,5.7,1.4,1.4,3.6,3.0,14.0,2,27,22,16.1,0.495,0.457,0.37,0.402,293.0,3.9,18.9,11.4,28.8,1.9,4.0,20.4,21.8,,0.6,1.1,1.7,0.09300000000000001,,1.6,3.0,4.7,293.0,5.899889567957246,3.513853894988326,0.6142701842473928,-0.003570821321023044,-18.19500502295011,0.308817340322865,Western Kentucky,Nebraska
24,5.0,Stanley Umude,12,2.0,249,41,91,0.451,36,69,0.522,5,22,0.22699999999999998,13,21,0.619,16,35,51,11,9,8,21,21,100,6,12,2,249,6.6,14.6,0.451,5.8,11.1,0.522,0.8,3.5,0.22699999999999998,2.1,3.4,0.619,8.2,1.8,1.4,1.3,3.4,3.4,16.1,6,12,2,13.9,0.495,0.478,0.242,0.231,96.0,7.2,16.4,11.7,7.9,2.0,4.1,17.2,23.0,,0.1,0.5,0.6,0.094,,-1.5,0.1,-1.5,96.0,15.886137621513003,7.284864611366172,-0.0012963848321346687,-6.109756534816331e-06,20.95573053009398,0.06289151927499159,South Dakota,Arkansas
